"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03158";"SÃO LUIZ";"03158";"SÃO LUIZ";"4";"13";"Vereador";"230000002509";"31000";"DANIEL ESPIGOTI DO NASCIMENTO";"DANIEL ESPIGOTI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"31";"PHS";"Partido Humanista da Solidariedade";"230000000245";"#TAMOJUNTO";"PMDB / PHS / PRP / PPS";"5";"SUPLENTE";"N";"96"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03158";"SÃO LUIZ";"03158";"SÃO LUIZ";"4";"11";"Prefeito";"230000002490";"15";"JAMES MOREIRA BATISTA";"JAMES BATISTA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"230000000243";"POR UM BRADO DE LIBERDADE";"PMDB / PPL / SD / PPS / PRP / PHS";"1";"ELEITO";"N";"1652"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";"3";"13";"Vereador";"230000001911";"51244";"VALDINEIDE DE ALMEIDA FIRMINO ANDRADE";"VALDINEIDE DO BOQUEIRAO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"51";"PEN";"Partido Ecológico Nacional";"230000000194";"JUNTOS SOMOS MAIS FORTE";"PEN / PHS / PSC / PSB";"5";"SUPLENTE";"N";"29"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";"3";"13";"Vereador";"230000001310";"43555";"FABIO DE JESUS DA SILVA ALMEIDA";"PROF. FABIO";"#NULO#";"12";"APTO";"4";"INDEFERIDO COM RECURSO";"Coligação";"43";"PV";"Partido Verde";"230000000134";"UNIDOS SOMOS MAIS FROTES";"PRP / PV / PPL / PC do B";"4";"NÃO ELEITO";"N";"0"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";"3";"13";"Vereador";"230000001315";"65222";"LUSICAMPOS SOUSA GOMES";"LUSIO SOM";"#NULO#";"12";"APTO";"4";"INDEFERIDO COM RECURSO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"230000000134";"UNIDOS SOMOS MAIS FROTES";"PRP / PV / PPL / PC do B";"4";"NÃO ELEITO";"N";"0"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03000";"CAROEBE";"03000";"CAROEBE";"4";"13";"Vereador";"230000001332";"10123";"REGINALDO CAETANO SILVA";"BACANA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"230000000138";"RUMO A VITÓRIA";"PRB / PP / PV";"5";"SUPLENTE";"N";"9"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03000";"CAROEBE";"03000";"CAROEBE";"4";"13";"Vereador";"230000001988";"19999";"JOSENIAS NOGUEIRA DOS SANTOS";"CARECA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"230000000202";"POR UM CAROEBE INDEPENDENTE";"PROS / PR / PEN / PTN / PRP";"5";"SUPLENTE";"N";"29"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03000";"CAROEBE";"03000";"CAROEBE";"4";"13";"Vereador";"230000001983";"90123";"DALVA DOS SANTOS";"DALVA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"230000000202";"POR UM CAROEBE INDEPENDENTE";"PROS / PR / PEN / PTN / PRP";"5";"SUPLENTE";"N";"27"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03093";"MUCAJAÍ";"03093";"MUCAJAÍ";"6";"13";"Vereador";"230000001817";"27678";"GRACIELE SILVA DE OLIVEIRA";"GRACIELE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"27";"PSDC";"Partido Social Democrata Cristão";"230000000186";"UNIDOS PODEMOS MAIS";"PSDC / PSD / PT do B / SD";"5";"SUPLENTE";"N";"16"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001216";"11113";"GERLANY FEITOSA ALVES";"GERLANY FEITOSA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000000127";"UNIDOS PARA RECONSTRUIR";"PP / PMN / PTB";"5";"SUPLENTE";"N";"24"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000000971";"10333";"JACILENE DOROTEIA SILVA";"JACI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"230000000089";"UNIDOS POR PACARAIMA";"PRB / PR";"5";"SUPLENTE";"N";"10"
