SQ_CANDIDATO;NM_MUNICIPIO;CD_MUNICIPIO;NR_ZONA;DS_SIT_TOT_TURNO;NM_CANDIDATO;SG_PARTIDO;QT_VOTOS_NOMINAIS
230000001113;RORAINÓPOLIS;03085;8;SUPLENTE;ADÍLIO SILVA DA COSTA;PC do B;47
230000001439;RORAINÓPOLIS;03085;8;SUPLENTE;ANA MARIA ALVES;PSD;24
230000001518;NORMANDIA;03115;3;SUPLENTE;VALTO JANUARIO RAPOSO;PDT;78
230000001970;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;FRANCISCO SOARES DE MELO SOBRINHO;PSDB;109
230000002655;UIRAMUTÃ;03107;7;SUPLENTE;DELZUITA SILVA DE SOUZA;PPS;61
230000002211;BONFIM;03077;3;SUPLENTE;JOSE ALVES DE MORAIS;PRB;201
230000002213;BONFIM;03077;3;SUPLENTE;JANIO UCHOA E SILVA;PRB;121
230000001052;BONFIM;03077;3;SUPLENTE;MARIA LUZINEIDE MATOS MARQUES;PSDC;167
230000002256;BONFIM;03077;3;NÃO ELEITO;ADELAIZA ALVES CORREA;PPS;0
230000002248;BONFIM;03077;3;NÃO ELEITO;REGINALDO DA SILVA;PTC;0
230000000826;CARACARAÍ;03034;2;SUPLENTE;ADRIANO AMADEU DANTAS BEZERRA;PSC;31
230000000827;CARACARAÍ;03034;2;SUPLENTE;AMAURI RODRIGUES RAMOS;PSC;14
230000001346;CARACARAÍ;03034;2;SUPLENTE;JOELSON MILLER FERREIRA DA SILVA;PR;24
230000001351;CARACARAÍ;03034;2;SUPLENTE;MARNUBIA NASCIMENTO DINIZ;PRB;17
230000000868;CARACARAÍ;03034;2;SUPLENTE;RAIMUNDO VITOR VIANA;PRP;8
230000002463;CARACARAÍ;03034;2;NÃO ELEITO;ROSELIA LIMA FOGAÇA;PSD;48
230000002452;CARACARAÍ;03034;2;NÃO ELEITO;TEMOTEO DE JESUS ALMEIDA SILVA;PHS;16
230000000938;CARACARAÍ;03034;2;NÃO ELEITO;ANTONIO CELIO VALDIVINO AGUIAR;PPS;0
230000001753;BOA VISTA;03018;1;SUPLENTE;MARINALVA MAIA BARROSO;PTC;15
230000001729;BOA VISTA;03018;1;SUPLENTE;CICERO CARDOZO DE ALMEIDA FILHO;PTC;198
230000002769;BOA VISTA;03018;1;SUPLENTE;ROSENILDA AZEVEDO FERREIRA;PT;94
230000002114;BOA VISTA;03018;5;SUPLENTE;JADER  CORREIA NUNES;PSD;0
230000002101;BOA VISTA;03018;1;SUPLENTE;VALDINA TEIXEIRA LIMA TAVERA;PSD;30
230000002087;BOA VISTA;03018;1;SUPLENTE;MARIA EDENEIDE FERREIRA DO NASCIMENTO;PSD;5
230000002095;BOA VISTA;03018;1;SUPLENTE;CARLOS EDUARDO BEZERRA DE SOUZA;PSD;571
230000002104;BOA VISTA;03018;5;SUPLENTE;CLAUDIANE MONTEIRO LIMA;PSD;4
230000002099;BOA VISTA;03018;1;SUPLENTE;HERBERT MACHADO LIMA;PSD;250
230000001947;BOA VISTA;03018;5;SUPLENTE;JADSON EVARISTO DA SILVA;PP;193
230000001963;BOA VISTA;03018;1;SUPLENTE;WEULLER JACKSON LOPES DOS PASSOS;PRB;179
230000002377;BOA VISTA;03018;5;SUPLENTE;ELISANGELA DE ARAUJO SANTOS;PRTB;40
230000002381;BOA VISTA;03018;5;SUPLENTE;DERISVALDO SOUSA DOS SANTOS;DEM;841
230000002705;BOA VISTA;03018;1;SUPLENTE;DIOMAR POLICARPO DE AMARAL;PRTB;51
230000002379;BOA VISTA;03018;5;SUPLENTE;JOSÉ NILTON MATIAS LIMA;PRTB;343
230000002704;BOA VISTA;03018;1;SUPLENTE;CARIN TARZIANO PEIXOTO CALDAS;PRTB;68
230000002390;BOA VISTA;03018;5;SUPLENTE;JONILSON SOARES DE ABREU;PSDB;45
